index,disease_name,description,Possible Steps,image_url
10,சோளம்: வடக்கு இலை கருகல்,"வடக்கு சோள இலை கருகல் நோய் (NCLB) செட்டோஸ்பேரியா டர்சிகா என்ற பூஞ்சையால் ஏற்படுகிறது. அறிகுறிகள் பொதுவாக முதலில் கீழ் இலைகளில் தோன்றும். இலை புண்கள் நீளமாக (1 முதல் 6 அங்குலம்) இருக்கும் மற்றும் நீள்வட்ட வடிவத்திலும் முதலில் சாம்பல்-பச்சை நிறத்திலும் இருக்கும் ஆனால் பின்னர் வெளிர் சாம்பல் அல்லது பழுப்பு நிறமாக மாறும். ஈரப்பதமான சூழ்நிலையில் அடர் சாம்பல் நிற வித்திகள் உற்பத்தி செய்யப்படுகின்றன பொதுவாக கீழ் இலை மேற்பரப்பில் இது புண்களுக்கு அழுக்கு சாம்பல் தோற்றத்தை அளிக்கிறது. கடுமையாக கருகல் ஏற்பட்ட தாவரங்களில் முழு இலைகளும் இறக்கக்கூடும் எனவே தனிப்பட்ட புண்கள் தெரியவில்லை. காதுகளின் வெளிப்புற உமியில் புண்கள் ஏற்படலாம் ஆனால் தானியங்கள் பாதிக்கப்படுவதில்லை. பூஞ்சைக்கு எதிர்ப்புத் தெரிவிக்கும் Ht மரபணுவைக் கொண்ட கலப்பினங்களில் புண்கள் சிறியதாகவும் குளோரோடிக் ஆகவும்நேரியல் கோடுகளாகவும் உருவாகலாம். "இந்தப் புண்கள் அரிதாகவே வித்துகளை உருவாக்குகின்றன.","பூஞ்சைக் கொல்லி பயன்பாடுகள் வடக்கு சோள இலை கருகல் சேதத்தையும் பாதுகாக்கப்பட்ட மகசூலையும் குறைத்தன. எளிதில் பாதிக்கப்படக்கூடிய சோள கலப்பினங்களில் விளைச்சலைக் குறைப்பதில் பூஞ்சைக் கொல்லியின் மதிப்பு அதிகமாக இருந்தது. நோய் தொடங்கும் போது பூஞ்சைக் கொல்லி பயன்படுத்தப்பட்டால் அவை மிகவும் பயனுள்ளதாக இருக்கும். நோய் வளர்ச்சி நிலைகளில் மாறுபடும், எனவே பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துவதற்கான சிறந்த நிலை.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,சோளம்: ஆரோக்கியமானது,"சோளச் செடிகள் பகல்நேர வெப்பநிலையை 75 முதல் 80 டிகிரி F மற்றும் இரவில் 65 முதல் 70 டிகிரி F வரை விரும்புகின்றன. மண் தொடர்ந்து ஈரப்பதமாக இருக்க வேண்டும், ஆனால் ஈரமாக இருக்கக்கூடாது, மேலும் அவை ஒவ்வொரு 6 மாதங்களுக்கும் உரம் மட்டுமே தேவைப்படும். டிராகேனா குறைந்த ஒளி நிலைகளை தாங்கிக்கொள்ள முடியும் என்றாலும், பிரகாசமான ஆனால் மறைமுக ஒளியில் வைக்கும்போது அவை சிறப்பாகச் செயல்படும். ஒரு செடி சில மஞ்சள் இலைகளை உருவாக்குவது இயற்கையானது, அதைப் பற்றி கவலைப்பட ஒன்றுமில்லை. இருப்பினும், அது ஒரே நேரத்தில் நிறைய மஞ்சள் இலைகளை உற்பத்தி செய்தால், ஐந்து அல்லது ஆறு என்று வைத்துக்கொள்வோம், நீங்கள் அதிகமாக நீர்ப்பாசனம் செய்யலாம் அல்லது செடி ஒளியின் பற்றாக்குறையால் பாதிக்கப்படலாம்.","சோளத்தில் பல ஆரோக்கிய நன்மைகள் உள்ளன. அதிக நார்ச்சத்து இருப்பதால், இது செரிமானத்திற்கு உதவும். இது உங்கள் ஒட்டுமொத்த ஆரோக்கியத்திற்கு முக்கியமான மதிப்புமிக்க பி வைட்டமின்களையும் கொண்டுள்ளது. சோளம் நமது உடலுக்கு துத்தநாகம், மெக்னீசியம், தாமிரம், இரும்பு மற்றும் மாங்கனீசு போன்ற அத்தியாவசிய தாதுக்களையும் வழங்குகிறது.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12, திராட்சை: கருப்பு அழுகல்,"திராட்சை கருப்பு அழுகல் என்பது குய்னார்டியா பிட்வெல்லி என்ற அஸ்கொமைசெட் பூஞ்சையால் ஏற்படும் ஒரு பூஞ்சை நோயாகும், இது வெப்பமான மற்றும் ஈரப்பதமான காலநிலையில் திராட்சை கொடிகளைத் தாக்குகிறது. "திராட்சை கருப்பு அழுகல் கிழக்கு வட அமெரிக்காவில் தோன்றியது ஆனால் இப்போது ஐரோப்பா தென் அமெரிக்கா மற்றும் ஆசியாவின் சில பகுதிகளில் காணப்படுகிறது. இது சூடான ஈரப்பதமான காலநிலையில் முழுமையான பயிர் இழப்பை ஏற்படுத்தும் ஆனால் வறண்ட கோடைகாலங்களைக் கொண்ட பகுதிகளில் கிட்டத்தட்ட தெரியவில்லை." இந்த பெயர் இலைகளில் வளரும் பழுப்பு நிற திட்டுகளை எல்லையாகக் கொண்ட கருப்பு விளிம்பிலிருந்து வருகிறது. இந்த நோய் தாவரத்தின் மற்ற பகுதிகளையும்"கொடியின் அனைத்து பச்சை பாகங்களையும்: தளிர்கள் இலை மற்றும் பழ தண்டுகள் தண்டுகள் மற்றும் பழங்களை பாதிக்கிறது. மிகவும் சேதப்படுத்தும் விளைவு பழத்திற்கு" மான்கோசெப் BONIDE MANCOZEB FLOWABLE பூஞ்சைக் கொல்லியாகக் கிடைக்கிறது. இதில் 37% மான்கோசெப் உள்ளது மற்றும் கருப்பு அழுகலைக் கட்டுப்படுத்த மிகவும் பயனுள்ளதாக இருக்க வேண்டும். நோவா (மைக்ளோபியூட்டானில்) IMMUNOX பூஞ்சைக் கொல்லியில் கிடைக்கிறது. இது 1.55 % மைக்ளோபுட்டானில் மற்றும் கருப்பு அழுகல் நோயைக் கட்டுப்படுத்தும் திறன் கொண்டதாக இருக்க வேண்டும்.
13, திராட்சை : எஸ்கா | "திராட்சை அம்மை", எஸ்கா கருப்பு அம்மை அல்லது ஸ்பானிஷ் அம்மை என்றும் அழைக்கப்படுகிறது இது திராட்சை விவசாயிகளை அதன் ரகசிய அறிகுறிகளால் நீண்ட காலமாக பாதித்து வருகிறது மேலும் நீண்ட காலமாக அடையாளம் காணக்கூடிய காரண உயிரினம்(கள்) இல்லாததால். "அம்மை" என்ற பெயர் பழத்தில் காணப்படும் மேலோட்டமான புள்ளிகளைக் குறிக்கிறது (படம் 1). பருவத்தில் புள்ளிகள் தோல் மேற்பரப்பில் ஒன்றிணைந்து பெர்ரிகளை கருப்பு நிறமாக மாற்றும். பழங்கள் உருவாகும் இடத்திற்கும் அறுவடைக்கு சில நாட்களுக்கு முன்பும் எந்த நேரத்திலும் புள்ளிகள் ஏற்படலாம். பழம் உருவாகும் இடத்தில் பாதிக்கப்பட்ட பெர்ரிகள் முதிர்ச்சியடையாது மற்றும் சுருங்கி உலர்ந்து போகும். புள்ளியிடலுடன் கூடுதலாக பருவத்தின் பிற்பகுதியில் பாதிக்கப்பட்ட பழங்களும் ஒரு கடுமையான சுவையைக் கொண்டிருக்கும். ஆண்டுதோறும் தொற்றுகள் கடுமையாக இருக்கும்போது இலை அறிகுறிகள் "புலி பட்டை" வடிவத்தால் (படம் 2-கீழ் இலை) வகைப்படுத்தப்படுகின்றன. லேசான தொற்றுகள் இலை அறிகுறிகளை உருவாக்கலாம் (படம் 2-மேல் இலை), இது மற்ற நோய்கள் அல்லது ஊட்டச்சத்து குறைபாடுகளுடன் குழப்பமடையக்கூடும். வெள்ளை சாகுபடிகள் குளோரோசிஸைத் தொடர்ந்து நெக்ரோசிஸைக் காண்பிக்கும் அதே நேரத்தில் சிவப்பு சாகுபடிகள் சிவப்பு பகுதிகளால் வகைப்படுத்தப்படுகின்றன அதைத் தொடர்ந்து நெக்ரோசிஸைக் கொண்டிருக்கும். வசந்த காலத்தின் துவக்க அறிகுறிகளில் தண்டு நுனி வாடல் இலை நிறமாற்றம் மற்றும் கடுமையான சந்தர்ப்பங்களில் முழுமையான இலை உதிர்தல் ஆகியவை அடங்கும்.""இன்றுவரை இந்த நோயைக் கட்டுப்படுத்த எந்த பயனுள்ள முறையும் இல்லை. பாதிக்கப்பட்ட பெர்ரி இலைகள் மற்றும் தண்டுகளை அகற்றி அழிக்கவும். காயம் சீலண்ட் (அக்ரிலிக் வண்ணப்பூச்சில் 5% போரிக் அமிலம்) அல்லது அத்தியாவசிய எண்ணெய் அல்லது பொருத்தமான பூஞ்சைக் கொல்லிகளைப் பயன்படுத்தி பூஞ்சை தொற்றைக் குறைக்க ப்ரூன் காயங்களைப் பாதுகாக்கவும்.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14, திராட்சை : இலை கருகல் | இசாரியோப்சிஸ் இலைப்புள்ளி,"பூஞ்சை கொடியின் அனைத்து பச்சை பகுதிகளையும் தாக்கக்கூடிய ஒரு கட்டாய நோய்க்கிருமியாகும். இந்த நோயின் அறிகுறிகள் பெரும்பாலும் தூள் பூஞ்சை காளான் அறிகுறிகளுடன் குழப்பமடைகின்றன. பாதிக்கப்பட்ட இலைகளில் வெளிர் மஞ்சள்-பச்சை நிறப் புண்கள் உருவாகி, படிப்படியாக பழுப்பு நிறமாக மாறும். கடுமையாக பாதிக்கப்பட்ட இலைகள் பெரும்பாலும் முன்கூட்டியே உதிர்ந்துவிடும். பாதிக்கப்பட்ட இலைக்காம்புகள், தண்டுகள் மற்றும் தளிர்கள் பெரும்பாலும் சுருண்டு, மேய்ப்பனின் வளைவை உருவாக்கி, இறுதியில் பழுப்பு நிறமாக மாறி இறந்துவிடும்.இளம் பெர்ரிகள் தொற்றுக்கு மிகவும் எளிதில் பாதிக்கப்படுகின்றன, மேலும் அவை பெரும்பாலும் பூஞ்சையின் வெள்ளை பழ அமைப்புகளால் மூடப்பட்டிருக்கும். வெள்ளை சாகுபடியின் பாதிக்கப்பட்ட பழைய பெர்ரிகள் மந்தமான சாம்பல்-பச்சை நிறமாக மாறக்கூடும், அதேசமயம் கருப்பு சாகுபடியின் பெர்ரிகள் இளஞ்சிவப்பு சிவப்பு நிறமாக மாறும்.","இனாகுலம் அளவைக் குறைக்க செயலற்ற தெளிப்புகளைப் பயன்படுத்துங்கள்.அதை வெட்டுங்கள்.அந்த விதானத்தைத் திறக்கவும்.உங்கள் பாதுகாப்புகளை கைவிடாதீர்கள். சீக்கிரம் தேடுங்கள், அடிக்கடி தேடுங்கள். பாதுகாப்பு மற்றும் முறையான பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துங்கள்.பூஞ்சைக் கொல்லி எதிர்ப்பைக் கருத்தில் கொள்ளுங்கள். வானிலையைக் கவனியுங்கள்.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15, திராட்சை : ஆரோக்கியமானது, வேர் மண்டலத்திற்கு மட்டும் தண்ணீர் பாய்ச்சவும். திராட்சை இலைகள் ஈரமாக இருப்பதைத் தவிர்க்கவும் ஏனெனில் இது பல திராட்சை நோய்களை ஊக்குவிக்கும். இலையுதிர்காலத்தில் இளம் கொடிகளுக்கு நீர்ப்பாசனம் செய்வதைக் குறைக்கவும் இதனால் செடி குளிர்காலத்திற்குத் தயாராக அதன் கரும்புகளை கடினப்படுத்த ஊக்குவிக்கும். மணல் அல்லது பிற நன்கு வடிகட்டிய மண்ணில் இல்லாவிட்டால் பழைய கொடிகளுக்கு அரிதாகவே நீர்ப்பாசனம் தேவைப்படுகிறது." ஊட்டச்சத்துக்கள், குறிப்பாக வைட்டமின்கள் சி மற்றும் கே நிறைந்தது. அதிக ஆக்ஸிஜனேற்ற உள்ளடக்கம் நாள்பட்ட நோய்களைத் தடுக்கலாம்.தாவர கலவைகள் சில வகையான புற்றுநோய்களுக்கு எதிராக பாதுகாக்கலாம். பல்வேறு ஈர்க்கக்கூடிய வழிகளில் இதய ஆரோக்கியத்திற்கு நன்மை பயக்கும். இரத்த சர்க்கரை அளவைக் குறைத்து நீரிழிவு நோயிலிருந்து பாதுகாக்கலாம்.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16, ஆரஞ்சு : ஹாங்லாங்பிங் | "சிட்ரஸ் பசுமையாக்கும் நோய் என்பது ஒரு நோய்க்கிருமியால் ஏற்படும் சிட்ரஸ் நோயாகும். HLB, நரம்புகள் மற்றும் அருகிலுள்ள திசுக்களின் மஞ்சள் நிறமாதல் போன்ற பொதுவான அறிகுறிகளால் வேறுபடுகிறது; அதைத் தொடர்ந்து முழு இலையிலும் பிளவுபட்ட புள்ளிகள் முன்கூட்டியே இலை உதிர்தல் கிளைகள் வாடுதல் ஊட்டி வேர்கள் மற்றும் பக்கவாட்டு வேர்கள் அழுகுதல் மற்றும் வீரியம் குறைதல் இறுதியில் முழு தாவரமும் இறந்துவிடும். பாதிக்கப்பட்ட மரங்கள் வளர்ச்சியைக் குன்றச் செய்து பல பருவகாலமற்ற பூக்களைத் தாங்கி (பெரும்பாலானவை உதிர்ந்துவிடும்) மேலும் சிறிய ஒழுங்கற்ற வடிவிலான பழங்களை உற்பத்தி செய்கின்றன அவை அடிப்பகுதியில் பச்சை நிறத்தில் இருக்கும் மற்றும் மிகவும் கசப்பான சுவை கொண்ட தடிமனான வெளிர் தோலுடன் இருக்கும். பொதுவான அறிகுறிகள் பெரும்பாலும் ஊட்டச்சத்து குறைபாடுகளாக தவறாகக் கருதப்படலாம்; இருப்பினும், ஊட்டச்சத்து குறைபாடுகளுக்கு இடையிலான வேறுபடுத்தும் காரணி சமச்சீர் வடிவமாகும். ஊட்டச்சத்து குறைபாடுகள் இலை நரம்பு விளிம்பில் சமச்சீராக இருக்கும் அதே நேரத்தில் HLB நரம்பு சுற்றி சமச்சீரற்ற மஞ்சள் நிறத்தைக் கொண்டுள்ளது. HLB இன் மிகவும் குறிப்பிடத்தக்க அறிகுறி குறிப்பாக பழுத்த பிறகு பழத்தின் பச்சை நிறமாதல் மற்றும் வளர்ச்சி குன்றியதாகும்" "சிட்ரஸ் பசுமையாக்கும் நோய் பரவுவதைத் தடுப்பதற்கான ஒரே வழி ACP (ஆசிய சிட்ரஸ் சைலிட்) கட்டுப்படுத்துவதாகும். சிட்ரஸ் மரங்கள் மிகவும் பிரபலமானவை மற்றும் பரவலாக நடப்படும் தோட்ட மரம் என்பதால் வீட்டு உரிமையாளர்கள் இந்த முக்கியமான போரில் முன்னணியில் உள்ளனர். எலுமிச்சை மரத்தின் இலைகளின் மேல் மற்றும் கீழ் பகுதிகளில் வேப்ப எண்ணெய் பூச்சிக்கொல்லியை தெளிக்கவும். தொற்றுநோயின் அளவைப் பொறுத்து 10-14 நாட்களுக்குப் பிறகு நீங்கள் மீண்டும் செய்ய வேண்டியிருக்கும். திரவ செப்பு பூஞ்சைக் கொல்லியைக் கொண்டு பூஞ்சை வளர்ச்சியை சிகிச்சையளிப்பதன் மூலம் பின்தொடரவும்.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,Peach : Bacterial Spot,"பாக்டீரியல் ஸ்பாட் என்பது பீச், நெக்டரைன், ஆப்ரிகாட் மற்றும் பிளம்ஸில் சாந்தோமோனாஸ் கேம்பஸ்ட்ரிஸ் பிவி. ப்ரூனியால் ஏற்படும் ஒரு முக்கியமான நோயாகும். இந்த நோயின் அறிகுறிகளில் பழப் புள்ளிகள், இலைப் புள்ளிகள் மற்றும் கிளை புற்றுகள் அடங்கும். பழ அறிகுறிகளில் குழி, விரிசல், ஈறுகள் மற்றும் நீரில் நனைந்த திசுக்கள் ஆகியவை அடங்கும், இது பழத்தை பழுப்பு அழுகல், ரைசோபஸ் மற்றும் பிற பூஞ்சை தொற்றுகளுக்கு ஆளாக்கும். கடுமையான இலைப் புள்ளி தொற்றுகள் ஆரம்பகால இலை உதிர்தலை ஏற்படுத்தும். கடுமையான இலை உதிர்தல் பழத்தின் அளவைக் குறைத்து, வெயிலில் எரிந்து, பழங்களில் விரிசல் ஏற்பட வழிவகுக்கும். ஆரம்பகால இலை உதிர்ந்த மரங்களின் வீரியம் மற்றும் குளிர்கால கடினத்தன்மை குறைகிறது.","பாக்டீரியா புள்ளியின் பழ அறிகுறிகள் கிளாடோஸ்போரியம் கார்போஃபிலியம் என்ற பூஞ்சையால் ஏற்படும் பீச் சிரங்குடன் குழப்பமடையக்கூடும், இருப்பினும் சிரங்கு புள்ளிகள் அதிக வட்டமாக இருக்கும், அடர் பழுப்பு/பச்சை நிற, தெளிவற்ற தோற்றத்தைக் கொண்டிருக்கும், மேலும் பழ மேற்பரப்பில் குழி ஏற்படாது, இருப்பினும் தோலில் விரிசல் ஏற்படலாம். சிரங்கு இலை அறிகுறிகளை ஏற்படுத்தாது, ஆனால் கிளைகளில் புள்ளிகளை ஏற்படுத்தும். பாக்டீரியா புள்ளியின் ஆரம்ப பழ புள்ளிகள் மேலோட்டமாக இருக்கலாம் ஆனால் பள்ளங்களாக உருவாகலாம்.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,Peach : Healthy,"பீச் மரங்கள் USDA மண்டலங்கள் 5 முதல் 8 அல்லது 9 வரை வளரும், மேலும் அவை குள்ள அல்லது நிலையான அளவுகளில் கிடைக்கின்றன, இது கொல்லைப்புற பழத்தோட்டங்களுக்கு சிறந்த தேர்வாக அமைகிறது. பெரும்பாலான அலங்கார தாவரங்களைப் போலல்லாமல், பீச் மரங்களுக்கு ஆரோக்கியமாகவும் உற்பத்தித் திறனுடனும் இருக்க வழக்கமான கத்தரித்தல், உரமிடுதல் மற்றும் தெளித்தல் தேவை. உங்கள் மரத்தைச் சுற்றியுள்ள நிலத்தில் தண்ணீர் மற்றும் ஊட்டச்சத்துக்களுக்காகப் போட்டியிடும் புல் மற்றும் களைகள் இல்லாமல் பார்த்து, தாராளமாக தழைக்கூளம் போடுங்கள்.","ஊட்டச்சத்துக்கள் மற்றும் ஆக்ஸிஜனேற்றிகள் நிறைந்தது. செரிமானத்திற்கு உதவக்கூடும். இதய ஆரோக்கியத்தை மேம்படுத்தக்கூடும். உங்கள் சருமத்தைப் பாதுகாக்கக்கூடும். சில வகையான புற்றுநோய்களைத் தடுக்கக்கூடும். ஒவ்வாமை அறிகுறிகளைக் குறைக்கக்கூடும்.பரவலாகக் கிடைக்கிறது மற்றும் உங்கள் உணவில் சேர்க்க எளிதானது.",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19, மிளகு மணி: பாக்டீரியா புள்ளி,"பழைய இலைகளின் கீழ் மேற்பரப்பில் சிறியதாகவும், பருக்களாகவும், மேல் இலை மேற்பரப்பில் சிறிய நீரில் நனைந்த புள்ளிகளாகவும் தோன்றும் இலை புள்ளிகள் பாக்டீரியா புள்ளியின் அறிகுறியாகும். இது மேரிலாந்தில் ஒரு முக்கியமான மிளகு நோயாகும். இது எப்போதாவது தக்காளியைத் தாக்குகிறது. இறுதியில், புள்ளிகள் சாம்பல் முதல் பழுப்பு நிற மையங்களை இருண்ட எல்லைகளுடன் உருவாக்குகின்றன. சூடான, ஈரப்பதமான வானிலையின் போது புண்கள் பெரிதாகின்றன. இலைகள் பின்னர் மஞ்சள் நிறமாகவும், பின்னர் பழுப்பு நிறமாகவும் மாறி உதிர்ந்துவிடும். தண்டுகளிலும் புண்கள் உருவாகலாம். பழங்கள் சிறிய, உயர்ந்த கரடுமுரடான புள்ளிகளை உருவாக்குகின்றன, அவை உண்ணும் தரத்தை பாதிக்காது. கடுமையாக பாதிக்கப்பட்ட இலைகள் உதிர்ந்து, மிளகுகளில் வெயிலில் தீக்காயம் ஏற்படும். பாக்டீரியா இலைப்புள்ளி மழை பெய்வதன் மூலமும், ஈரமான, பாதிக்கப்பட்ட தாவரங்களுடன் வேலை செய்வதன் மூலமும் பரவுகிறது. இந்த நோய் ஈரமான வானிலையில் தாவரங்களை இலைகளை உதிர்த்துவிடும். வெப்பமான, வறண்ட வானிலை இந்த நோயின் பரவலைக் குறைக்கிறது. இந்த நோய் விதை அல்லது நாற்றுகளில் வரலாம் மற்றும் பயிர் எச்சங்கள் மற்றும் மண்ணில் குளிர்காலத்தை கழிக்கும்.","எதிர்ப்பு வகைகளைத் தேர்ந்தெடுக்கவும் நோயற்ற விதை மற்றும் நாற்றுகளை வாங்கவும். 10% குளோரின் ப்ளீச் கரைசலில் 2 நிமிடங்கள் ஊறவைத்து விதைகளுக்கு சிகிச்சையளிக்கவும் (1 பகுதி ப்ளீச்; 9 பங்கு தண்ணீர்). நடவு செய்வதற்கு முன் விதைகளை நன்கு துவைத்து உலர்த்தவும். வைக்கோல் அல்லது புல் துண்டுகளால் மூடப்பட்ட செய்தித்தாள் போன்ற தடிமனான கரிமப் பொருளைக் கொண்டு தாவரங்களை ஆழமாக தழைக்கூளம் செய்யவும். மேல்நோக்கி நீர்ப்பாசனம் செய்வதைத் தவிர்க்கவும். பருவத்தின் முடிவில் மோசமாக பாதிக்கப்பட்ட தாவர பாகங்கள் மற்றும் அனைத்து குப்பைகளையும் அகற்றி அப்புறப்படுத்தவும். தொற்று பரவுவதை மெதுவாக்க ஒவ்வொரு 10-14 நாட்களுக்கும் நிலையான செம்பு (கரிம பூஞ்சைக் கொல்லி) தெளிக்கவும். தொற்றுகள் கடுமையாக இருந்தால் மிளகாயை வேறு இடத்திற்கு சுழற்றி, நடவு செய்வதற்கு முன் கருப்பு பிளாஸ்டிக் தழைக்கூளம் அல்லது கருப்பு நிலப்பரப்பு துணியால் மண்ணை மூடவும்.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20, மிளகு மணி: ஆரோக்கியமான,"பெல் மிளகாயை நன்கு தண்ணீர் ஊற்றி வைக்கவும் ஆனால் மண்ணை ஒருபோதும் ஈரமாக விட வேண்டாம். சுமார் 6 அங்குல ஆழத்தில் மண்ணை ஈரப்படுத்த தண்ணீர் ஊற்றி பின்னர் சிறிது உலர விடவும். "பூக்கள் பூக்கும் இடத்தை சிறிய மிளகுகள் பிடிக்கும் போது ​​மணிகள் முதிர்ச்சியடையும் போத ​​பழுக்க வைக்கும் போது நீர்ப்பாசனம் மிகவும் முக்கியமானது. நிலையான ஈரப்பதம் மிளகாயை உறுதியாகவும் ஆரோக்கியமாகவும் வைத்திருக்க உதவுகிறது.","சிவப்பு, ஆரஞ்சு மற்றும் மஞ்சள் மணி மிளகுகள் சிறந்த ஆரோக்கிய நன்மைகளால் நிறைந்தவை - அவை வைட்டமின்களால் நிரம்பியுள்ளன மற்றும் குறைந்த கலோரிகளைக் கொண்டுள்ளன! அவை வைட்டமின் ஏ, வைட்டமின் சி மற்றும் பொட்டாசியத்தின் சிறந்த மூலமாகும். மணி மிளகுகளில் ஆரோக்கியமான அளவு நார்ச்சத்து, ஃபோலேட் மற்றும் இரும்புச்சத்தும் உள்ளது.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21,உருளைக்கிழங்கு: ஆரம்பகால கருகல் நோய்,"பெரும்பாலான உற்பத்தி பகுதிகளில், ஆரம்பகால கருகல் நோய் ஆண்டுதோறும் ஓரளவிற்கு ஏற்படுகிறது. ஆரம்பகால கருகல் நோயின் தீவிரம் மழை, பனி அல்லது நீர்ப்பாசனம் காரணமாக இலை ஈரப்பதத்தின் அதிர்வெண்; இலைகளின் ஊட்டச்சத்து நிலை; மற்றும் சாகுபடி உணர்திறன் ஆகியவற்றைப் பொறுத்தது. ஆரம்பகால கருகல் நோயின் முதல் அறிகுறிகள் பழைய (கீழ்) இலைகளில் சிறிய, வட்ட அல்லது ஒழுங்கற்ற, அடர்-பழுப்பு முதல் கருப்பு புள்ளிகள் வரை தோன்றும். இந்தப் புள்ளிகள் 3/8 அங்குல விட்டம் வரை பெரிதாகி, படிப்படியாக கோண வடிவமாக மாறக்கூடும். இளம், முழுமையாக விரிவடைந்த இலைகளில் ஆரம்பப் புண்கள் பழுப்பு நிறப் புள்ளிப் புண்களுடன் குழப்பமடையக்கூடும். இந்த முதல் புண்கள் தொற்றுக்குப் பிறகு சுமார் இரண்டு முதல் மூன்று நாட்களுக்குப் பிறகு தோன்றும், மேலும் இந்த புண்களின் மேற்பரப்பில் மேலும் ஸ்போருலேஷன் மூன்று முதல் ஐந்து நாட்களுக்குப் பிறகு ஏற்படும்.", ஆரம்பகால ப்ளைட்டின் சிகிச்சையில் நோயை எதிர்க்கும் உருளைக்கிழங்கு வகைகளை நடவு செய்வதன் மூலம் தடுப்பது அடங்கும்; தாமதமாக முதிர்ச்சியடையும் வகைகளை விட தாமதமாக முதிர்ச்சியடையும் வகைகளை அதிக எதிர்ப்புத் திறன் கொண்டவை. மேல்நிலை நீர்ப்பாசனத்தைத் தவிர்க்கவும் இலைகள் விரைவாக உலர அனுமதிக்க தாவரங்களுக்கு இடையில் போதுமான காற்றோட்டத்தை அனுமதிக்கவும்.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22, உருளைக்கிழங்கு : லேட் ப்ளைட்,"முதன்மை ஹோஸ்ட் உருளைக்கிழங்கு, ஆனால் பி. இன்ஃபெஸ்டான்ஸ் தக்காளி பெட்டூனியாக்கள் மற்றும் ஹேரி நைட்ஷேட் உள்ளிட்ட பிற சோலனேசியஸ் தாவரங்களையும் பாதிக்கலாம் அவை உருளைக்கிழங்கிலிருந்து இனோகுலத்தின் மூலமாக செயல்படக்கூடும். வயலில் லேட் ப்ளைட்டின் முதல் அறிகுறிகள் சிறிய வெளிர் முதல் அடர் பச்சை நிறத்தில் வட்ட வடிவிலான ஒழுங்கற்ற வடிவிலான நீரில் தோய்ந்த புள்ளிகள். இந்தப் புண்கள் பொதுவாக முதலில் கீழ் இலைகளில் தோன்றும். இலை நுனிகள் அல்லது விளிம்புகளுக்கு அருகில் புண்கள் பெரும்பாலும் உருவாகத் தொடங்குகின்றன அங்கு பனி நீண்ட நேரம் இருக்கும். குளிர்ந்த ஈரப்பதமான வானிலையில் இந்தப் புண்கள் வரைவாக பெரிய அடர் பழுப்பு அல்லது கருப்புப் புண்களாக விரிவடைந்து பெரும்பாலும் எண்ணெய் பசையுடன் தோன்றும். இலைப் புண்கள் அடிக்கடி மஞ்சள் நிற குளோரோடிக் ஒளிவட்டத்தால் சூழப்பட்டுள்ளன". கடுமையான தாமதமான கருகல் நோயை மேற்கு வங்கத்தில் முறையான பூஞ்சைக் கொல்லிகளைப் பயன்படுத்திய ஏழு நாட்களுக்குப் பிறகு 0.25% மான்கோசெப் தடுப்பு தெளிப்புடன் பின்னர் சைமோக்சனில்+மான்கோசெப் அல்லது டைமெத்தோமார்ப்+மான்கோசெப் 0.3% தெளிப்பதன் மூலமும் 0.25% மான்கோசெப் தெளிப்பதன் மூலமும் திறம்பட நிர்வகிக்க முடியும். , https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
